"biz_rest.business_id" "biz_rest.stars" "biz_rest.longitude" "biz_rest.latitude" "biz_rest.state" "biz_rest.attributes..Take.out." "biz_rest.attributes..Takes.Reservations." "biz_rest.attributes..Wi.Fi." "biz_rest.attributes.Caters"
"95" "Cex2R008tMFg8R5fAtf77w" 3.5 -80.0357966 40.3966306 "PA" TRUE FALSE "free" FALSE
"99" "qemCNgjeYGcFsRwxW9x4xw" 3.5 -80.0499034 40.3886105 "PA" TRUE TRUE "free" TRUE
"101" "2X5G4Ujq0s4Wfn4TC7gX0g" 4.5 -79.893834 40.432022 "PA" TRUE FALSE "free" TRUE
"103" "JL5B_s1EoN4zIru4JSw4Qg" 3.5 -79.890649 40.427135 "PA" TRUE FALSE "no" FALSE
"110" "1vQLTKwmcmZXtNzfKEvMmA" 3.5 -80.070269 40.392287 "PA" TRUE TRUE "no" FALSE
"111" "hhNlQWaKqGbMPoeZHoL-IQ" 3.5 -80.070806 40.3906976 "PA" TRUE FALSE "free" TRUE
"112" "SgQYRICpMdWCmY7wM2Cmcw" 2.5 -80.0629702 40.3940168 "PA" TRUE FALSE "no" TRUE
"115" "sNmQJQWEVGheCnw5Tf4Phg" 4 -80.0660407 40.3939568 "PA" TRUE FALSE "free" TRUE
"117" "KZXtzoI84iI1CEcAnD7OPA" 3.5 -80.0500506 40.4210254 "PA" TRUE FALSE "no" TRUE
"118" "zpNGtjBlIkDq_PLGSCPlAg" 3.5 -80.0456525 40.4198341 "PA" TRUE TRUE "no" FALSE
"119" "ZS7-I04iDm4oRP_GJsJqrA" 4 -80.045902 40.418106 "PA" TRUE FALSE "free" TRUE
"121" "z4cCguoHdU48pj6sXMIzqg" 2.5 -79.994852 40.4441681 "PA" TRUE TRUE "free" FALSE
"123" "OxIeMVcop5oxBUWANi-1Rw" 3.5 -80.0025539 40.4429278 "PA" TRUE TRUE "free" FALSE
"126" "NeUf9FyCCIN4MEseNyqkXQ" 3.5 -80.002585 40.440287 "PA" TRUE FALSE "no" FALSE
"128" "4LcFKTr6Ah87VcxW2z5e6w" 1.5 -79.9989518 40.4422762 "PA" TRUE FALSE "free" FALSE
"129" "buVALudg30kgkDusqB3yJw" 4.5 -79.9834035 40.4514856 "PA" TRUE FALSE "no" FALSE
"130" "wHi8ODv7TGmeUB02XoX-mA" 2.5 -79.9842886 40.4505742 "PA" TRUE FALSE "no" TRUE
"134" "PxP19Rb88OQKiSMl2oWNsg" 3 -80.0027621 40.4440173 "PA" TRUE TRUE "no" TRUE
"135" "9mwShpTgZofOujt4JfyGmw" 2.5 -79.979271 40.455916 "PA" TRUE TRUE "no" TRUE
"136" "90Fqfzd8zD9AuuNBSv9lAg" 4 -80.0007482 40.4423373 "PA" TRUE TRUE "free" TRUE
"137" "KEzIorUdFjqCuxbRxKPghA" 4 -80.0009183 40.4403687 "PA" TRUE FALSE "no" FALSE
"140" "8AskFIgGxqNb8RbcDCAfmA" 4 -79.99920129776 40.4395902449355 "PA" TRUE FALSE "no" FALSE
"142" "L5387MoRyx9orlRyYfCSPA" 4 -79.9858749 40.450111 "PA" TRUE FALSE "no" FALSE
"143" "dHDi4wCcjsOR6vcZ8oOIoA" 3 -79.9916741 40.4464777 "PA" TRUE TRUE "no" TRUE
"147" "l-OmDgEd4QkZpyXVpkp2yA" 3 -79.996955 40.4421419 "PA" TRUE TRUE "no" TRUE
"148" "0FgwBx7pgmNdUtsd_T8UYQ" 4 -80.0037919 40.4392798 "PA" TRUE TRUE "no" FALSE
"159" "AH1PrZQDIdjpKgy1z8XxUg" 3.5 -79.9994904 40.4387143 "PA" TRUE FALSE "no" FALSE
"160" "XmdTkxKyJd7TuDLoiic1kg" 3.5 -79.9894086 40.4484631 "PA" FALSE TRUE "no" TRUE
"162" "nBl_NeArpL08MpoghDiA_A" 4 -80.0028862631704 40.4398391118939 "PA" TRUE FALSE "no" TRUE
"163" "J011r7mUV1QhgLJ7GkrtMw" 4 -79.985665 40.450237 "PA" TRUE FALSE "no" TRUE
"164" "-KQ283hJkBO12u8XOrlCcQ" 3 -80.0019823 40.4409393 "PA" TRUE FALSE "no" TRUE
"172" "PTS4MxQel-xzj5qWxVn3LQ" 3.5 -79.9479211 40.4607719 "PA" TRUE FALSE "no" FALSE
"173" "IvgKdlte_JNdd17XRxkOrg" 4 -79.9548907 40.4659283 "PA" TRUE FALSE "no" FALSE
"175" "PhIGoo9g6GBrqgH_6yZXXQ" 4 -79.9412119 40.464984 "PA" TRUE FALSE "no" TRUE
"176" "uBW3PIKqc-_eyG1_vdJn1w" 4 -79.9445074 40.4654249 "PA" TRUE FALSE "no" FALSE
"180" "tQpYnf3P3Q_OQLYYJvlV-A" 3.5 -79.9489828 40.4636982 "PA" TRUE FALSE "no" FALSE
"182" "34TBKRXYq1JHe4kYlHW2Eg" 4 -79.94854 40.461657 "PA" TRUE FALSE "no" FALSE
"183" "nUISXnW2Jo9ovnoFBIUY_Q" 2.5 -79.9484943 40.4612318 "PA" TRUE TRUE "no" TRUE
"184" "dxCqGkhtXq-9fYEsX7Mf6Q" 4 -79.9559332 40.4653036 "PA" TRUE FALSE "no" FALSE
"185" "--UE_y6auTgq3FXlvUMkbw" 3.5 -79.941311 40.45639 "PA" TRUE FALSE "no" FALSE
"186" "YTqSkgOiiI9HG3hNH7ovfg" 3.5 -79.9471799 40.4606393 "PA" TRUE TRUE "free" TRUE
"187" "vgXE1I7c9ElcfYyZfQiN1Q" 4 -79.950641 40.462787 "PA" TRUE FALSE "no" FALSE
"188" "-Nanlb7SYXObqQ6dZ49UOg" 3 -79.9486639 40.461739 "PA" TRUE TRUE "no" TRUE
"189" "3zgswf_NfBJpeAoWeTkgMA" 4 -79.942274 40.458267 "PA" TRUE FALSE "free" TRUE
"190" "uOwuJJhGaiAzuaDY7-o14g" 3.5 -79.941471 40.455568 "PA" TRUE FALSE "free" TRUE
"191" "7XXmky6YYjsvKFwho_eavg" 3.5 -79.950128 40.46257 "PA" TRUE FALSE "free" TRUE
"192" "o_wRqOpli9kyZGXlJtLLdA" 4 -79.950246 40.462632 "PA" TRUE FALSE "no" FALSE
"193" "5MChfa-jZfMo3vBpolkSbw" 3.5 -79.9435413 40.458576 "PA" TRUE TRUE "free" TRUE
"196" "ptmsW2SSeFD2I6vspJs0lQ" 3 -80.015649 40.384633 "PA" TRUE TRUE "free" TRUE
"197" "r8jeeS3k_diihMDSu9IjlA" 4 -80.018538 40.405245 "PA" TRUE FALSE "no" TRUE
"199" "dQjaHoo89bLymdMm4S5_1g" 4 -80.0229025 40.3954635 "PA" TRUE TRUE "no" FALSE
"201" "dpRsK3JyaD3GKorVWzQUmA" 3 -80.024316 40.400323 "PA" TRUE FALSE "free" FALSE
"203" "vWnwaD-kykqiEc2Q0hbYsw" 1.5 -80.0266142 40.3989335 "PA" TRUE FALSE "free" FALSE
"205" "cESul2ojJOjadz-7BKB5eg" 4 -80.0153449 40.3830261 "PA" TRUE TRUE "no" TRUE
"209" "6-rJjW6ITl5o_FliiNgZRA" 4 -80.044459 40.380192 "PA" TRUE TRUE "no" FALSE
"210" "mPlWLIA4pkHMRtlQDm6UyQ" 4 -80.0441649 40.3819791 "PA" TRUE TRUE "no" FALSE
"212" "MkrQV_nyxyC1F5ut5KxDMQ" 3.5 -80.0503804 40.357621 "PA" TRUE FALSE "free" TRUE
"214" "9SPwF-vRgtuHxciFxv5YLA" 4 -79.9296112060547 40.4571266174316 "PA" TRUE TRUE "no" TRUE
"215" "Cy9XgM3ZG2jZ1ganvolb6Q" 4 -79.9297 40.4569371 "PA" FALSE TRUE "no" FALSE
"216" "rgmptwPbBH1wLpiBHcbIhA" 3.5 -79.931338 40.455955 "PA" TRUE FALSE "free" TRUE
"217" "i_nkxbd7feg44QkdbG05UA" 3 -79.9327178368915 40.4516538606323 "PA" TRUE TRUE "free" FALSE
"218" "vSZDiKiF8vf9zt_BcDL7GQ" 3.5 -79.933732551313 40.451445220945 "PA" TRUE FALSE "free" TRUE
"219" "DkX3YoxhH4uADsgVgQThew" 3 -79.9346715 40.451079 "PA" TRUE FALSE "free" FALSE
"223" "xgK6AAhJ-cYBUCSaLzgTuw" 3.5 -79.9346006 40.4512206 "PA" TRUE TRUE "no" TRUE
"226" "TxKmAsKQjND5vbhBdUSyIA" 4 -79.932833 40.451723 "PA" TRUE FALSE "no" FALSE
"230" "Q9BXMPu2HnRDMq9X_2rHrQ" 3 -79.933919 40.450866 "PA" TRUE FALSE "free" TRUE
"233" "MFtTSa1OTC0rFxBxpXzKfg" 3.5 -80.0286937 40.3606021 "PA" TRUE FALSE "no" FALSE
"234" "q5g_zeAdwsZQp0p9GPnTJw" 4.5 -80.0352804 40.3690921 "PA" TRUE FALSE "free" TRUE
"235" "lI-LWQETbT8RivEHt-7jJg" 4.5 -80.013523 40.369099 "PA" TRUE FALSE "no" FALSE
"238" "Ln34kwDUNZPLhVhUqauLWQ" 3 -80.006247 40.373453 "PA" TRUE TRUE "free" TRUE
"239" "hxWwXE1mqNuSghYBr5bLWg" 4 -79.9763367 40.3500069 "PA" TRUE FALSE "no" FALSE
"243" "rEpubmz577MOhpDmWPH1uw" 3.5 -79.8857543 40.4870754 "PA" TRUE FALSE "no" FALSE
"244" "ufyh6h4GsR-RYY2lC_Iz7w" 2.5 -79.860283 40.493969 "PA" TRUE FALSE "no" TRUE
"249" "HPcrrz8uipPQyK-5zd6w9Q" 3 -81.0277219 35.2546334 "NC" TRUE FALSE "no" TRUE
"251" "W-2Tuk4uWYm5BsdlWju8wg" 3 -81.026391 35.25355 "NC" TRUE FALSE "no" FALSE
"254" "vtJAnB4gBgTJKv3mOnOF_w" 4 -81.041502 35.252694 "NC" TRUE FALSE "no" FALSE
"256" "JkF2CPy63ivoK1FUqprQ7w" 3.5 -81.0422163 35.2527471 "NC" TRUE FALSE "no" FALSE
"257" "OkV0BMQxRRYJ5t5sbeU93A" 3 -81.037397 35.244676 "NC" TRUE TRUE "free" TRUE
"258" "qYuSoVBS_1i_btLzFefDeg" 4 -80.697074 35.084143 "NC" TRUE FALSE "no" TRUE
"262" "2VuPoaFPktvtAqTX_Fzc-A" 4 -81.0272196 35.3035634 "NC" TRUE FALSE "no" FALSE
"263" "jyF0rwmQEIdDWVtP5vlf3w" 4 -81.0241586 35.2912146 "NC" TRUE FALSE "free" TRUE
"265" "Z2ks3quiwbkMDY1sVDW9OQ" 2.5 -81.020392 35.2889229 "NC" TRUE FALSE "free" FALSE
"267" "lX3XYcMWoRlHjrmkoGNefQ" 4 -80.871878 35.086948 "NC" TRUE FALSE "free" TRUE
"270" "2_0P2AmSSFtPgddio0MgYA" 4.5 -80.882357 35.076521 "NC" TRUE TRUE "free" TRUE
"272" "_Bz6YWNI5bi0gqQI4GLvqQ" 4 -80.878913 35.088417 "NC" TRUE FALSE "no" TRUE
"274" "SVKC_-gIQFkHElZ6bFsE6g" 3 -80.8798456192017 35.0852900556099 "NC" TRUE TRUE "no" TRUE
"275" "l2ynPEBj9S_yN9gjg32tBA" 3 -80.878954 35.084106 "NC" TRUE FALSE "free" FALSE
"276" "AUDuCSWYzzRP3H2w7TxtuQ" 3.5 -80.8770119 35.088633 "NC" TRUE TRUE "no" FALSE
"280" "4WsTFTH8GgnyFHwrH9nHzA" 2.5 -80.877383 35.086418 "NC" TRUE TRUE "no" TRUE
"281" "QMZe84KFyZy0IlCBb1v91A" 3 -80.8811638 35.0862316 "NC" TRUE TRUE "no" FALSE
"284" "WqPjIMFcT9RTMUumaCvGsw" 4.5 -80.915583 35.1118189 "NC" TRUE FALSE "no" TRUE
"286" "5p3Tqyp19UowO0-dAFvxMw" 3 -80.884608 35.08442 "NC" TRUE FALSE "no" TRUE
"287" "T1jYZFB_7cqdhuvzpxfFWQ" 3 -80.884822 35.085568 "NC" TRUE FALSE "no" FALSE
"289" "LT0AgHTpDifuHSXgyLmJwg" 3.5 -80.846592 35.228193 "NC" TRUE FALSE "no" FALSE
"290" "USdRzNk14UdjZWFgBJb0wA" 4.5 -80.8396379 35.231684 "NC" FALSE TRUE "no" FALSE
"291" "ePP0Eqz8JKSbtdt2phiB4A" 4 -80.840783 35.23361 "NC" TRUE FALSE "free" FALSE
"292" "ASwN3Ih0Eh1oH0npLbzVjA" 4 -80.8459493 35.2263237 "NC" TRUE FALSE "no" TRUE
"293" "Lt9o2RmacVY2L-IWLA8uTg" 4 -80.8450060579599 35.2286502257605 "NC" FALSE TRUE "free" TRUE
"294" "gpCtDCSXIoQx70cq9itfNA" 4 -80.846913 35.223994 "NC" TRUE FALSE "no" TRUE
"295" "-6JY1T0w4XETux5kGOj84g" 3 -80.839671 35.228985 "NC" FALSE FALSE "free" FALSE
"296" "WuCcv_Dyd_1B_1-4jwK7sQ" 3.5 -80.8415605 35.228075 "NC" TRUE TRUE "free" FALSE
"297" "rT-iPtIXMKj3dTcl87lbOw" 4 -80.841488 35.2281289 "NC" TRUE TRUE "no" FALSE
"301" "ym9QwkmB5ZKTyj7q5huTDw" 3.5 -80.839336 35.230194 "NC" TRUE TRUE "free" TRUE
"302" "OkPX0a9PUrhr6oNgE_FB_w" 2.5 -80.84104 35.2244979 "NC" TRUE FALSE "no" FALSE
"303" "QMX1ssofSveU3qhVAKLnXA" 3.5 -80.8461559 35.22533 "NC" TRUE FALSE "no" FALSE
"304" "XzhsJecsCYj-Wc32zOWqmg" 3.5 -80.841672 35.233802 "NC" TRUE FALSE "no" TRUE
"307" "9XKIFRBT-UTglX3wBGPAAA" 4 -80.84104 35.2244979 "NC" TRUE FALSE "no" FALSE
"311" "mpDxBBGywUE6GRRKja3sBA" 4 -80.8401304 35.2273178 "NC" TRUE TRUE "no" TRUE
"314" "NTfUFk8GyOLL1uPbEO-pVg" 4 -80.84547 35.224456 "NC" TRUE TRUE "free" TRUE
"318" "z24h6ZYnZiWjlDTuLXG9jw" 4.5 -80.841488 35.2281289 "NC" FALSE TRUE "no" FALSE
"320" "EwuvZCcVHkICgTbqCEjikA" 3 -80.8548383 35.2283983 "NC" TRUE FALSE "free" FALSE
"321" "6SxAOEXHzNjWQMQ9Nnos3A" 2.5 -80.8414916 35.2278131 "NC" TRUE FALSE "no" FALSE
"322" "kAid56AY_laxGYslMdsYJw" 3.5 -80.8388937 35.2274621 "NC" TRUE TRUE "no" TRUE
"323" "CChwRoYVXA3QZulS8a6xOQ" 4.5 -80.8419989013275 35.2283137726241 "NC" TRUE TRUE "free" TRUE
"328" "-R7uChoaVzwNvPNMT1gOuw" 4 -80.8461559 35.22533 "NC" TRUE FALSE "no" FALSE
"330" "nkNdTqpv1m5GBKx8xrpluw" 4.5 -80.8317551 35.153939 "NC" TRUE FALSE "free" TRUE
"333" "e5J3s-xxs1S6PPHJhldBEA" 3 -80.8394745 35.2278411 "NC" TRUE TRUE "free" FALSE
"336" "qqVmZ3H7j06pcJFaSA4pcg" 4.5 -80.838086 35.230441 "NC" TRUE FALSE "no" TRUE
"337" "4-B5ou1FbGVjVEQd3FAoIA" 4.5 -80.841672 35.233802 "NC" TRUE FALSE "no" FALSE
"341" "376PDtBpGi74Os08TvCkhg" 3 -80.847022 35.225996 "NC" TRUE FALSE "free" TRUE
"343" "v96eOvQGYHukDu_UWqNl4A" 4 -80.886314 35.239174 "NC" TRUE FALSE "no" TRUE
"347" "wpFOZbONc7qUYz6YmBfKuQ" 3.5 -80.8865749 35.1629379 "NC" TRUE FALSE "no" TRUE
"348" "eaqJQP6bp7rQJQt5KqfvxQ" 3.5 -80.840592 35.227392 "NC" FALSE TRUE "no" FALSE
"349" "hBscDTusN57Ai0SnkQK8Sg" 3.5 -80.844683 35.223866 "NC" TRUE TRUE "no" TRUE
"353" "L9D9xHVgCo71ZoO1ZBGOsQ" 4 -80.822107 35.216101 "NC" TRUE FALSE "free" TRUE
"354" "uDoTFFud2mXE3VT1Jt9L5A" 4.5 -80.8351239 35.206798 "NC" FALSE TRUE "no" FALSE
"356" "MQnNtW1lHS-eid3QNUoUIw" 4 -80.8355422 35.2093789 "NC" TRUE TRUE "free" TRUE
"359" "MMNBgMQCdwyVoNaHg0h_QA" 4 -80.8285213 35.2154777 "NC" TRUE TRUE "free" TRUE
"364" "8PsQqhrAH5uqJ7HODOmXYg" 3.5 -80.817991 35.212005 "NC" TRUE FALSE "no" FALSE
"365" "cibtubYc6gd8T6Y-nPPByw" 3.5 -80.817112 35.2124 "NC" TRUE FALSE "no" FALSE
"368" "TwwD5FQSe0vk1Ecp89HjEw" 4.5 -80.826589 35.2140739 "NC" TRUE TRUE "free" TRUE
"369" "jTGQUWGIVvL-aY03C5BEmw" 4 -80.821084 35.214525 "NC" TRUE TRUE "no" TRUE
"370" "YbqNbrnOEk2T0qIBbTivuQ" 4 -80.80088 35.2544169 "NC" TRUE FALSE "no" TRUE
"373" "X7VdashktoAExx5ksEBLXQ" 3.5 -80.8378516 35.2687693 "NC" TRUE FALSE "no" TRUE
"381" "xopQn_MCE8bSBOyhsj6pVw" 2.5 -80.8919965 35.2440597 "NC" TRUE FALSE "no" FALSE
"382" "P4r-LsB1ldgvlgli40Yu-Q" 2 -80.923791 35.228855 "NC" TRUE FALSE "free" FALSE
"383" "crKd3Kf3YYP8znwoMvcA-g" 3 -80.920249 35.221112 "NC" TRUE FALSE "no" FALSE
"386" "M89wkxqAcXuVMtWh91BIjg" 4 -80.927661 35.2137529 "NC" TRUE FALSE "no" TRUE
"388" "1AXQja1QV47FGU0Jp0CSxw" 3.5 -80.9259185 35.2289648 "NC" TRUE FALSE "no" FALSE
"389" "xP-6TN10JA_7C6-V1-JOEQ" 3.5 -80.920439 35.2348251 "NC" TRUE FALSE "no" FALSE
"391" "cpxwd_iFG3Oh1LUMJn0rOQ" 3.5 -80.8891254 35.2244894 "NC" TRUE FALSE "no" FALSE
"393" "DNr2McGXQLleQkJ0zaCBHQ" 3 -80.86844 35.089797 "NC" TRUE FALSE "no" FALSE
"394" "4kM-mP7z1nP015R2Tlz1Tw" 3 -80.8333414793015 35.1497403163914 "NC" TRUE FALSE "free" FALSE
"395" "wtUaFgHGHnopdYh5m-a25Q" 2.5 -80.830010175705 35.1489946559782 "NC" TRUE FALSE "free" FALSE
"397" "hIQRiE3UsYH7UsrsDwJwLA" 3 -80.8318029 35.148108 "NC" TRUE TRUE "no" FALSE
"399" "WkD7OrSIHLzgOQo9wQHu-A" 4 -80.8575681073039 35.1169659300918 "NC" TRUE FALSE "no" TRUE
"400" "CxGK5_GoIhG9798zYPsvfA" 3.5 -80.868412 35.089838 "NC" TRUE FALSE "no" FALSE
"401" "IKUVWL75eSoC71G2fBphmA" 4 -80.8592146 35.0929099 "NC" TRUE FALSE "no" FALSE
"402" "Y_OeiGhTm6ZEfZ1UQgM_wA" 4 -80.858953 35.0922399 "NC" TRUE TRUE "no" FALSE
"403" "hODaBUYzv0AbApej_bfZ-w" 3.5 -80.825232 35.146036 "NC" TRUE FALSE "no" TRUE
"404" "4CPrhBc4Ado90fj7PG6jrA" 3 -80.827256 35.146916 "NC" TRUE TRUE "no" FALSE
"407" "UzMMpUFwJhwUkHOyeXeWsQ" 4 -80.833416448883 35.1483931202698 "NC" TRUE FALSE "free" FALSE
"408" "KLYI39LFvsPzS_2-j9qgIA" 3 -80.875422 35.157022 "NC" TRUE FALSE "no" FALSE
"410" "BOp3jcpYy31M85H1DLnEEw" 3.5 -80.825569 35.145671 "NC" TRUE TRUE "no" TRUE
"411" "Lw-01HQDswygHvAZfwkpxA" 4.5 -80.865522 35.093967 "NC" TRUE FALSE "no" TRUE
"413" "UFvogJEUiLSJwyx2LSz2uQ" 3 -80.746801 35.172028 "NC" TRUE TRUE "free" TRUE
"416" "KQqkkg5jaxIbdMIG4MJCIw" 3.5 -80.73581 35.202473 "NC" TRUE FALSE "no" FALSE
"418" "3IDt1SaDYwo6QKKV7gsuyQ" 1.5 -80.740247 35.202695 "NC" TRUE FALSE "no" FALSE
"420" "Lom8K4ZK5LIlRe2ZO90s9w" 3.5 -80.736859 35.201622 "NC" TRUE FALSE "no" FALSE
"421" "CESMPxEWnj42f4nTXV3_yw" 4 -80.745487 35.152222 "NC" TRUE FALSE "no" TRUE
"422" "F-e-sWfVd3eCYll3BP1QFA" 4 -80.7405517995358 35.3166944318598 "NC" TRUE FALSE "free" FALSE
"423" "-s-OW4Kr9YY3SBmRdpgFdQ" 3.5 -80.761267 35.188469 "NC" TRUE FALSE "no" FALSE
"426" "p_HFt0I92MHDNPWvdtyEBA" 4 -80.939773 35.242044 "NC" TRUE FALSE "no" FALSE
"429" "KpJeQaB0ca6k1-Wdduokqw" 3.5 -80.9379979 35.244848 "NC" TRUE FALSE "no" FALSE
"431" "0sbPpUIyTpcx90bLRsVx0w" 4 -80.952888 35.321649 "NC" TRUE FALSE "no" FALSE
"435" "7FZ9597M9LhHXGbBD-0VFg" 3 -80.854211 35.3059579 "NC" TRUE FALSE "free" TRUE
"439" "va9aHf7SEIfKLnvOmeavIw" 3 -80.9463234990835 35.3246860206127 "NC" TRUE FALSE "no" FALSE
"441" "jr8D3lu1S0-eRpIVxkKnMA" 1.5 -80.80925 35.146999 "NC" TRUE FALSE "no" FALSE
"442" "Khv_fiHqB4JcMkzzz7yd7Q" 4 -80.8086157 35.1469687 "NC" TRUE TRUE "no" FALSE
"443" "r-pBY6vR_Iu5XhPRvPnquw" 3 -80.7708 35.053472 "NC" TRUE TRUE "free" TRUE
"444" "t719u5GZY0yPX4U7t5whrg" 3.5 -80.824258 35.116099 "NC" TRUE FALSE "free" TRUE
"446" "c2RzHxH4DQcH4A-a5FpidQ" 3 -80.849974 35.086145 "NC" TRUE TRUE "no" FALSE
"448" "IbWfpebkP64zWgc9-ZVtZA" 3 -80.8632 35.088597 "NC" TRUE FALSE "free" FALSE
